date|site|wing|minutes|doarama|comments
2018-07-07|Abert Rim|BGD Epic|15||Hike and fly with Evan and Alex. Light thermals, accidentally bumped my vario and turned it off during launch and ended up sinking out (booo!). Was really happy with my smooth, centered landing in the LZ (road with guardrail before, lake to the left and behind, rocks and shrubs to the right).
2018-07-17|The Dumps|BGD Epic|30||
2018-07-22|Dillon Point|BGD Epic|20||First time flying Dillon Point.
2018-07-25|The Dumps|BGD Epic|30||
2018-07-28|Ed Levin|BDG Epic|15||First flight from the 1750, got a little bit of lift over the 600 but not much.
2018-07-28|Ed Levin|BDG Epic|2||
2018-07-28|Ed Levin|BDG Epic|2||
2018-07-28|Ed Levin|BDG Epic|3||
2018-08-02|The Dumps|BGD Epic|30|2378126|Foggy dumpy day.
2018-08-11|Ed Levin|BGD Epic|3||600
2018-08-11|Ed Levin|BGD Epic|4||P3 spot, 600
2018-08-11|Ed Levin|BGD Epic|4||600
2018-08-12|Ed Levin|BGD Epic|6||Morning sledder from 1750 with Ziv, Pierre, and Greg. P3 spot landing.
2018-08-12|Ed Levin|BGD Epic|8||Second 1750 of the day, few small bumps of lift.
2018-08-12|Ed Levin|BGD Epic|10||Third 1750 of the day, thermalled with Greg above 300 for a bit.
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-19|Ed Levin|BGD Epic|6||1750 sledder, light wind. Followed the ridge on the right until the wall of rocks. Next time fly more above the ridge.
2018-08-19|Ed Levin|BGD Epic|10||1750, light wind. Headed for the 1200, should have gone a little past it to find some lift.
2018-08-19|The Dumps|BGD Epic|70|2428829|First Walker top landing, 14 WSW, low ceiling
2018-08-19|The Dumps|BGD Epic|15||Second Walker top landing, 14 WSW, low ceiling
2018-08-19|The Dumps|BGD Epic|3||Third Walker top landing, 14 WSW, low ceiling
2018-08-19|The Dumps|BGD Epic|30||Last flight of the day.
2018-08-23|The Dumps|BGD Epic|7||10 SW, launched from Coyote, few passes of Walker ridge, out around the corner and back. Ended up sinking out and landing on the path near the water.
2018-08-24|The Dumps|BGD Epic|90||12 W, flying with Sean and Nicole. Lots of rotor near Walker when attempting to top land.
2018-08-31|The Dumps|BGD Epic|80||13 SW, super smooth Walker top landing
2018-08-31|The Dumps|BGD Epic|15||15 W, rough Walker top landing, wing had a bit too much energy coming around and the wind switched to straight W from SW right when I made the turn to face into the wind. Ended up doing a bit of a crosswind landing and ended up on my knees when I touched down.
2018-08-31|The Dumps|BGD Epic|20||15 SW, pretty smooth walker top landing, took a few tries to get down.
2018-08-31|The Dumps|BGD Epic|5||16 W, winds picking up quite a bit, white caps out on the water, landed and kited in ~18mph in the kiting area. Was able to launch from the kiting area and get 10-15 feet into the air.
2018-08-31|The Dumps|BGD Epic|60||13 SW
2018-08-31|The Dumps|BGD Epic|30||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|10||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|7||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|8||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|20||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|30||13 SW
2018-09-03|Ed Levin|BGD Epic|5||600
2018-09-03|Ed Levin|BGD Epic|7||600
2018-09-03|Ed Levin|BGD Epic|6||600
2018-09-03|The Dumps|BGD Epic|55||15 SW
